variable,value
burrow_diameter,1.2000000000000002
burrow_diameter,0.7000000000000001
burrow_diameter,1.3
burrow_diameter,0.7000000000000001
burrow_diameter,1.7000000000000002
burrow_diameter,1.1
burrow_diameter,1
burrow_diameter,1.3
burrow_diameter,2.5
burrow_diameter,1.3
burrow_diameter,0.9
burrow_diameter,0.8
burrow_diameter,1.1
burrow_diameter,1.4000000000000001
burrow_diameter,2
burrow_diameter,0.6000000000000001
burrow_diameter,0.9
burrow_diameter,0.7000000000000001
burrow_diameter,1.4000000000000001
burrow_diameter,1
burrow_diameter,0.7000000000000001
burrow_diameter,1.9000000000000001
burrow_diameter,1.8
burrow_diameter,0.9
burrow_diameter,1.9000000000000001
burrow_diameter,1.7000000000000002
burrow_diameter,1.5
burrow_diameter,1.5
burrow_diameter,1.4000000000000001
burrow_diameter,1.4000000000000001
burrow_diameter,0.8
burrow_diameter,2.1
burrow_diameter,2.3000000000000003
burrow_diameter,2.5
burrow_diameter,1.7000000000000002
burrow_diameter,1.9000000000000001
burrow_diameter,2.6
burrow_diameter,0.6000000000000001
burrow_diameter,1.5
burrow_diameter,2.4000000000000004
burrow_diameter,2
burrow_diameter,3.2
burrow_diameter,0.7000000000000001
burrow_diameter,0.6000000000000001
burrow_diameter,1.8
burrow_diameter,0.6000000000000001
burrow_diameter,0.7000000000000001
burrow_diameter,1.8
burrow_diameter,0.7000000000000001
burrow_diameter,1.9000000000000001
burrow_diameter,2.1
burrow_diameter,0.6000000000000001
burrow_diameter,1.8
burrow_diameter,1.6
burrow_diameter,1.7000000000000002
burrow_diameter,1.8
burrow_diameter,1.1
burrow_diameter,1.7000000000000002
burrow_diameter,1.5
burrow_diameter,0.6000000000000001
burrow_diameter,1.3
burrow_diameter,1.1
burrow_diameter,0.9
burrow_diameter,0.8
burrow_diameter,1.5
burrow_diameter,0.9
burrow_diameter,1.6
burrow_diameter,1.8
burrow_diameter,1.3
burrow_diameter,0.8
burrow_diameter,0.7000000000000001
burrow_diameter,1
burrow_diameter,1.5
burrow_diameter,1.7000000000000002
burrow_diameter,1
burrow_diameter,1.3
burrow_diameter,1
burrow_diameter,0.9
burrow_diameter,0.6000000000000001
burrow_diameter,1.5
burrow_diameter,0.8
burrow_diameter,0.7000000000000001
burrow_diameter,1.6
burrow_diameter,1.5
burrow_diameter,1.7000000000000002
burrow_diameter,2.5
burrow_diameter,0.9
burrow_diameter,1.2000000000000002
burrow_diameter,1.4000000000000001
burrow_diameter,1.5
burrow_diameter,1.5
burrow_diameter,1.6
burrow_diameter,1.7000000000000002
burrow_diameter,1.1
burrow_diameter,1.8
burrow_diameter,1.7000000000000002
burrow_diameter,1.1
burrow_diameter,1.2000000000000002
burrow_diameter,1.8
burrow_diameter,1.5
burrow_diameter,1
burrow_diameter,1.6
burrow_diameter,1.5
burrow_diameter,1.7000000000000002
burrow_diameter,1.5
burrow_diameter,1
burrow_diameter,2
burrow_diameter,2
burrow_diameter,0.9
burrow_diameter,1.3
burrow_diameter,0.5
burrow_diameter,0.4
burrow_diameter,0.5
burrow_diameter,0.5
burrow_diameter,0.8
burrow_diameter,1
burrow_diameter,1.4000000000000001
burrow_diameter,1
burrow_diameter,1.8
burrow_diameter,1
burrow_diameter,0.7000000000000001
burrow_diameter,1.9000000000000001
burrow_diameter,0.8
burrow_diameter,1.2000000000000002
burrow_diameter,1.1
burrow_diameter,0.9
burrow_diameter,0.8
